1 A101 CT001 2024-01-01 2024-12-31 5000000.0 10000000.0 1 2024-01-01 Standard_lease_agreement
2 A102 CT002 2024-02-01 2025-01-31 6000000.0 12000000.0 1 2024-02-01 Premium_room_contract
3 B201 CT003 2024-03-01 2024-12-31 4500000.0 9000000.0 0 2024-03-01 Basic_contract_expired
1 A101 CT001 2024-01-01 2024-12-31 5e+06 1e+07 1 2024-01-01 Standard_lease_agreement
2 A102 CT002 2024-02-01 2025-01-31 6e+06 1.2e+07 1 2024-02-01 Premium_room_contract
3 B201 CT003 2024-03-01 2024-12-31 4.5e+06 9e+06 0 2024-03-01 Basic_contract_expired
1 A101 CT001 2024-01-01 2024-12-31 5e+06 1e+07 1 2024-01-01 Standard_lease_agreement
2 A102 CT002 2024-02-01 2025-01-31 6e+06 1.2e+07 1 2024-02-01 Premium_room_contract
3 B201 CT003 2024-03-01 2024-12-31 4.5e+06 9e+06 0 2024-03-01 Basic_contract_expired
1 A101 CT001 2024-01-01 2024-12-31 5e+06 1e+07 1 2024-01-01 Standard_lease_agreement
2 A102 CT002 2024-02-01 2025-01-31 6e+06 1.2e+07 1 2024-02-01 Premium_room_contract
3 B201 CT003 2024-03-01 2024-12-31 4.5e+06 9e+06 0 2024-03-01 Basic_contract_expired
