2001 101 2024-01-15 2025-01-14 2.5e+06 5e+06 0 Hop_dong_1_nam_P101
2002 102 2024-02-01 2025-02-01 2.2e+06 4.4e+06 0 Hop_dong_sinh_vien_P102
2003 103 2024-01-20 2025-01-19 3.5e+06 7e+06 0 Hop_dong_cap_doi_P103
2004 105 2024-03-01 2025-03-01 5e+06 1e+07 0 Hop_dong_gia_dinh_P105
2005 201 2024-02-15 2025-02-15 2.6e+06 5.2e+06 2 Hop_dong_nhan_vien_P201
2006 202 2024-03-10 2025-03-10 2.4e+06 4.8e+06 0 Hop_dong_hoc_sinh_P202
2007 203 2024-01-25 2025-01-25 3.6e+06 7.2e+06 0 Hop_dong_VIP_P203
2008 205 2024-04-01 2025-04-01 5.2e+06 1.04e+07 0 Hop_dong_gia_dinh_cao_cap_P205
2009 302 2024-03-20 2025-03-20 2.5e+06 5e+06 0 Hop_dong_freelancer_P302
2010 303 2024-05-01 2025-05-01 3.7e+06 7.4e+06 0 Hop_dong_penthouse_P303
2011 104 2025-09-13 2026-09-13 3.2e+06 1.7e+06 0 x
