4001 0 3001 191 477500
4002 1 3001 18 360000
4003 2 3001 1 150000
4004 3 3001 1 50000
4005 0 3002 183 457500
4006 1 3002 21 420000
4007 2 3002 1 150000
4008 3 3002 1 50000
4009 0 3003 159 397500
4010 1 3003 13 260000
4011 2 3003 1 150000
4012 3 3003 1 50000
4013 0 3004 187 467500
4014 1 3004 17 340000
4015 2 3004 1 150000
4016 3 3004 1 50000
4017 0 3005 136 340000
4018 1 3005 14 280000
4019 2 3005 1 150000
4020 3 3005 1 50000
4021 0 3006 200 500000
4022 1 3006 14 280000
4023 2 3006 1 150000
4024 3 3006 1 50000
4025 0 3007 156 390000
4026 1 3007 11 220000
4027 2 3007 1 150000
4028 3 3007 1 50000
4029 0 3008 162 405000
4030 1 3008 15 300000
4031 2 3008 1 150000
4032 3 3008 1 50000
4033 0 3009 152 380000
4034 1 3009 14 280000
4035 2 3009 1 150000
4036 3 3009 1 50000
4037 0 3010 115 287500
4038 1 3010 25 500000
4039 2 3010 1 150000
4040 3 3010 1 50000
4041 0 3011 164 410000
4042 1 3011 17 340000
4043 2 3011 1 150000
4044 3 3011 1 50000
4045 0 3012 182 455000
4046 1 3012 19 380000
4047 2 3012 1 150000
4048 3 3012 1 50000
4049 0 3013 165 412500
4050 1 3013 23 460000
4051 2 3013 1 150000
4052 3 3013 1 50000
4053 0 3014 127 317500
4054 1 3014 20 400000
4055 2 3014 1 150000
4056 3 3014 1 50000
4057 0 3015 175 437500
4058 1 3015 11 220000
4059 2 3015 1 150000
4060 3 3015 1 50000
4061 0 3016 133 332500
4062 1 3016 11 220000
4063 2 3016 1 150000
4064 3 3016 1 50000
4065 4 3016 1 127500
4066 0 3017 102 255000
4067 1 3017 22 440000
4068 2 3017 1 150000
4069 3 3017 1 50000
4070 0 3018 133 332500
4071 1 3018 11 220000
4072 2 3018 1 150000
4073 3 3018 1 50000
4074 4 3018 1 162500
4075 0 3019 145 362500
4076 1 3019 24 480000
4077 2 3019 1 150000
4078 3 3019 1 50000
4079 0 3020 155 387500
4080 1 3020 22 440000
4081 2 3020 1 150000
4082 3 3020 1 50000
4083 0 3021 146 365000
4084 1 3021 20 400000
4085 2 3021 1 150000
4086 3 3021 1 50000
4087 0 3022 126 315000
4088 1 3022 13 260000
4089 2 3022 1 150000
4090 3 3022 1 50000
4091 4 3022 1 5000
4092 0 3023 130 325000
4093 1 3023 16 320000
4094 2 3023 1 150000
4095 3 3023 1 50000
4096 0 3024 134 335000
4097 1 3024 12 240000
4098 2 3024 1 150000
4099 3 3024 1 50000
4100 0 3025 100 250000
4101 1 3025 10 200000
4102 2 3025 1 150000
4103 3 3025 1 50000
4104 4 3025 1 65000
4105 0 3026 153 382500
4106 1 3026 25 500000
4107 2 3026 1 150000
4108 3 3026 1 50000
4109 0 3027 197 492500
4110 1 3027 25 500000
4111 2 3027 1 150000
4112 3 3027 1 50000
4113 0 3028 184 460000
4114 1 3028 20 400000
4115 2 3028 1 150000
4116 3 3028 1 50000
4117 0 3029 120 300000
4118 1 3029 14 280000
4119 2 3029 1 150000
4120 3 3029 1 50000
4121 4 3029 1 10000
4122 0 3030 154 385000
4123 1 3030 21 420000
4124 2 3030 1 150000
4125 3 3030 1 50000
4126 0 3031 105 262500
4127 1 3031 15 300000
4128 2 3031 1 150000
4129 3 3031 1 50000
4130 4 3031 1 22500
4131 0 3032 184 460000
4132 1 3032 10 200000
4133 2 3032 1 150000
4134 3 3032 1 50000
4135 4 3032 1 5000
4136 0 3033 133 332500
4137 1 3033 16 320000
4138 2 3033 1 150000
4139 3 3033 1 50000
4140 0 3034 152 380000
4141 1 3034 18 360000
4142 2 3034 1 150000
4143 3 3034 1 50000
4144 0 3035 188 470000
4145 1 3035 18 360000
4146 2 3035 1 150000
4147 3 3035 1 50000
4148 0 3036 142 355000
4149 1 3036 16 320000
4150 2 3036 1 150000
4151 3 3036 1 50000
4152 0 3037 196 490000
4153 1 3037 12 240000
4154 2 3037 1 150000
4155 3 3037 1 50000
4156 0 3038 134 335000
4157 1 3038 17 340000
4158 2 3038 1 150000
4159 3 3038 1 50000
4160 0 3039 178 445000
4161 1 3039 15 300000
4162 2 3039 1 150000
4163 3 3039 1 50000
4164 0 3040 139 347500
4165 1 3040 17 340000
4166 2 3040 1 150000
4167 3 3040 1 50000
4168 0 3041 127 317500
4169 1 3041 13 260000
4170 2 3041 1 150000
4171 3 3041 1 50000
4172 4 3041 1 27500
4173 0 3042 198 495000
4174 1 3042 10 200000
4175 2 3042 1 150000
4176 3 3042 1 50000
4177 0 3043 192 480000
4178 1 3043 10 200000
4179 2 3043 1 150000
4180 3 3043 1 50000
4181 0 3044 150 375000
4182 1 3044 16 320000
4183 2 3044 1 150000
4184 3 3044 1 50000
4185 0 3045 113 282500
4186 1 3045 12 240000
4187 2 3045 1 150000
4188 3 3045 1 50000
4189 4 3045 1 202500
4190 0 3046 142 355000
4191 1 3046 18 360000
4192 2 3046 1 150000
4193 3 3046 1 50000
4194 0 3047 109 272500
4195 1 3047 14 280000
4196 2 3047 1 150000
4197 3 3047 1 50000
4198 4 3047 1 52500
4199 0 3048 128 320000
4200 1 3048 12 240000
