3001 2001 2024-01 2.5e+06 2.89e+06 1
3002 2001 2024-02 2.5e+06 2.92e+06 1
3003 2001 2024-03 2.5e+06 2.85e+06 0
3004 2002 2024-02 2.2e+06 2.55e+06 1
3005 2002 2024-03 2.2e+06 2.48e+06 0
3006 2003 2024-02 3.5e+06 4.02e+06 1
3007 2003 2024-03 3.5e+06 3.98e+06 0
3008 2004 2024-03 5e+06 5.65e+06 1
3009 2004 2024-04 5e+06 5.72e+06 0
3010 2005 2024-03 2.6e+06 2.95e+06 1
3011 2005 2024-04 2.6e+06 2.98e+06 0
3012 2006 2024-04 2.4e+06 2.75e+06 0
3013 2007 2024-02 3.6e+06 4.15e+06 1
3014 2007 2024-03 3.6e+06 4.22e+06 0
3015 2008 2024-04 5.2e+06 5.85e+06 1
3016 2008 2024-05 5.2e+06 5.92e+06 0
3017 2009 2024-04 2.5e+06 2.85e+06 0
3018 2010 2024-05 3.7e+06 4.25e+06 0
